NR,Geschlecht,Alter,Nielsen,Bundesland,Arbeitsstatus,Kinder im Haushalt (<18),Haushaltsgröße,Haushaltsnettoeinkommen,Familienstand,Berufs- / Akademische Bildung,Schulbildung,Stadt,Urban (>100k Einw.),PLZ,Land,Platform,Beantwortungsdauer in Sek.,Beantwortungszeit,"1. Wir zeigen Dir im Folgenden immer drei Eiscremeangebote, die sich auf vier Faktoren unterscheiden: Sorte, Art des Bechers, Preis, und ob Streusel auf dem Eis sind. Bitte entscheide Dich jedes Mal, welches Eiscremeangebot Du am ehesten kaufen würdest.",2. Welche dieser Eiskugeln würdest du am ehesten kaufen?,3. Welche dieser Eiskugeln würdest du am ehesten kaufen?,4. Welche dieser Eiskugeln würdest du am ehesten kaufen?,5. Welche dieser Eiskugeln würdest du am ehesten kaufen?,6. Welche dieser Eiskugeln würdest du am ehesten kaufen?,7. Welche dieser Eiskugeln würdest du am ehesten kaufen?,8. Welche dieser Eiskugeln würdest du am ehesten kaufen?,9. Welche dieser Eiskugeln würdest du am ehesten kaufen?,10. Welche dieser Eiskugeln würdest du am ehesten kaufen?,11. Welche dieser Eiskugeln würdest du am ehesten kaufen?,12. Welche dieser Eiskugeln würdest du am ehesten kaufen?,13. Welche dieser Eiskugeln würdest du am ehesten kaufen?,14. Welche dieser Eiskugeln würdest du am ehesten kaufen?,15. Welche dieser Eiskugeln würdest du am ehesten kaufen?,16. Welche dieser Eiskugeln würdest du am ehesten kaufen?,17. Welche dieser Eiskugeln würdest du am ehesten kaufen?,"18. Bei dieser Frage bitten wir dich, die richtige Antwort auszuwählen. Welches der folgenden Tiere lebt im Wasser? Achtung: Kontrollfrage!"
269,m,51,1,Schleswig-Holstein,Erwerbstätig,Keine Kinder (<18) im Haushalt,4 Personen,>5000€,In einer Beziehung,Lehre / Ausbildung,Abitur / Fachabitur,Neumuenster,0,24537,DEU,iOS,170,2021-06-18 14:49:08,-,1A,2C,3A,4B,5A,6A,7C,8A,9B,10C,11C,12A,13A,14A,15B,16A,Hai
270,m,39,2,Nordrhein-Westfalen,Erwerbstätig,Keine Kinder (<18) im Haushalt,1 Person,1000€ bis 2000€,Single / Ledig,Lehre / Ausbildung,Abitur / Fachabitur,Gelsenkirchen,1,45894,DEU,Android,187,2021-06-18 14:52:13,-,1A,2B,3A,4C,5C,6A,7C,8A,9B,10B,11A,12C,13B,14A,15B,16B,Hai
271,m,28,1,Schleswig-Holstein,Erwerbstätig,Keine Kinder (<18) im Haushalt,2 Personen,3000€ bis 4000€,In einer Beziehung,Lehre / Ausbildung,Realschulabschluss,Worth,0,21502,DEU,iOS,136,2021-06-18 14:46:52,-,1A,2B,3C,4C,5C,6B,7A,8B,9B,10B,11A,12C,13B,14A,15B,16B,Hai
272,f,34,4,Bayern,Erwerbstätig,Keine Kinder (<18) im Haushalt,1 Person,2000€ bis 3000€,Single / Ledig,Lehre / Ausbildung,Realschulabschluss,Straubing,0,94315,DEU,Android,162,2021-06-18 14:50:08,-,1A,2B,3B,4C,5C,6A,7A,8C,9C,10B,11A,12C,13B,14A,15B,16A,Hai
273,m,16,6,Sachsen-Anhalt,SchülerIn / StudentIn / In der Ausbildung (Azubi/Lehrling),Min. ein Kind (<18) im Haushalt,3 Personen,1000€ bis 2000€,In einer Beziehung,(Noch) kein Abschluss,Realschulabschluss,Quedlinburg,0,06484,DEU,Android,268,2021-06-18 14:55:46,-,1A,2B,3A,4C,5C,6A,7C,8A,9B,10B,11C,12C,13B,14A,15B,16B,Hai
274,f,18,3b,Baden-Wuerttemberg,SchülerIn / StudentIn / In der Ausbildung (Azubi/Lehrling),Keine Kinder (<18) im Haushalt,3 Personen,4000€ bis 5000€,Single / Ledig,(Noch) kein Abschluss,Realschulabschluss,Lahr/Schwarzwald,0,77933,DEU,iOS,129,2021-06-18 14:48:21,-,1B,2C,3B,4B,5C,6A,7A,8C,9C,10B,11C,12C,13B,14A,15B,16A,Hai
275,m,55,7,Thueringen,Erwerbstätig,Min. ein Kind (<18) im Haushalt,3 Personen,2000€ bis 3000€,Verheiratet / eingetragene Partnerschaft,Lehre / Ausbildung,Realschulabschluss,Dornheim,0,99310,DEU,Android,177,2021-06-18 14:59:23,-,1A,2B,3B,4C,5C,6C,7A,8C,9C,10B,11A,12C,13B,14A,15B,16B,Hai
276,m,28,2,Nordrhein-Westfalen,Erwerbstätig,Keine Kinder (<18) im Haushalt,2 Personen,2000€ bis 3000€,In einer Beziehung,Lehre / Ausbildung,Realschulabschluss,Essen,1,45309,DEU,Android,76,2021-06-18 14:51:24,-,1A,2C,3B,4C,5B,6A,7A,8C,9B,10B,11C,12C,13B,14C,15B,16A,Hai
277,f,38,5,Berlin,-,-,-,-,-,-,-,Berlin,1,13189,DEU,android,180,2021-06-18 14:49:39,-,1A,2B,3C,4C,5B,6A,7A,8A,9C,10B,11C,12C,13B,14A,15B,16A,Hai
278,f,24,1,Hamburg,Erwerbstätig,Keine Kinder (<18) im Haushalt,3 Personen,1000€ bis 2000€,Single / Ledig,Universitärer Abschluss,Abitur / Fachabitur,Hamburg,1,21075,DEU,iOS,72,2021-06-18 14:55:29,-,1A,2B,3B,4B,5C,6C,7B,8A,9B,10B,11A,12C,13B,14C,15C,16B,Hai
279,m,38,3b,Baden-Wuerttemberg,Erwerbstätig,Min. ein Kind (<18) im Haushalt,Mehr als 4 Personen,2000€ bis 3000€,Verheiratet / eingetragene Partnerschaft,Universitärer Abschluss,Abitur / Fachabitur,Goeppingen,0,73037,DEU,iOS,94,2021-06-18 14:48:50,-,1A,2C,3B,4C,5B,6A,7B,8C,9C,10A,11A,12C,13A,14C,15B,16A,Hai
280,f,38,3a,Rheinland-Pfalz,Erwerbstätig,Min. ein Kind (<18) im Haushalt,4 Personen,2000€ bis 3000€,Single / Ledig,Lehre / Ausbildung,Realschulabschluss,Rheinbrohl,0,56598,DEU,Android,149,2021-06-18 14:52:16,-,1A,2B,3A,4C,5C,6B,7C,8C,9B,10B,11C,12C,13B,14A,15B,16A,Hai
281,m,22,2,Nordrhein-Westfalen,SchülerIn / StudentIn / In der Ausbildung (Azubi/Lehrling),Keine Kinder (<18) im Haushalt,4 Personen,3000€ bis 4000€,In einer Beziehung,(Noch) kein Abschluss,Abitur / Fachabitur,Gelsenkirchen,1,45896,DEU,iOS,192,2021-06-18 14:50:26,-,1A,2B,3C,4C,5C,6A,7A,8B,9C,10B,11A,12C,13B,14A,15B,16A,Hai
282,m,16,7,Sachsen,Nicht erwerbstätig,Keine Kinder (<18) im Haushalt,2 Personen,1000€ bis 2000€,Single / Ledig,(Noch) kein Abschluss,Realschulabschluss,Dresden,0,01277,DEU,iOS,101,2021-06-18 14:48:36,-,1A,2B,3A,4C,5C,6B,7C,8C,9B,10B,11A,12C,13B,14A,15B,16A,Hai
283,f,48,2,Nordrhein-Westfalen,Erwerbstätig,Keine Kinder (<18) im Haushalt,2 Personen,<1000€,Single / Ledig,Lehre / Ausbildung,Hauptschulabschluss,Gevelsberg,0,58285,DEU,Android,125,2021-06-18 14:50:46,-,1A,2B,3A,4B,5C,6A,7A,8A,9C,10B,11C,12A,13B,14C,15B,16A,Hai
284,f,19,3a,Hessen,SchülerIn / StudentIn / In der Ausbildung (Azubi/Lehrling),Min. ein Kind (<18) im Haushalt,Mehr als 4 Personen,4000€ bis 5000€,Single / Ledig,(Noch) kein Abschluss,Realschulabschluss,Hadamar,0,65589,DEU,Android,121,2021-06-18 14:51:51,-,1A,2C,3B,4C,5C,6A,7A,8C,9C,10B,11C,12C,13B,14C,15B,16A,Hai
285,f,22,1,Niedersachsen,SchülerIn / StudentIn / In der Ausbildung (Azubi/Lehrling),Keine Kinder (<18) im Haushalt,2 Personen,2000€ bis 3000€,In einer Beziehung,(Noch) kein Abschluss,Realschulabschluss,Uelzen,0,29525,DEU,iOS,176,2021-06-18 14:50:09,-,1A,2C,3B,4C,5C,6A,7A,8C,9C,10B,11A,12C,13B,14A,15B,16A,Hai
286,m,27,1,Hamburg,Erwerbstätig,Keine Kinder (<18) im Haushalt,1 Person,<1000€,Single / Ledig,Lehre / Ausbildung,Abitur / Fachabitur,Hamburg,1,21073,DEU,Android,61,2021-06-18 14:50:45,-,1C,2C,3A,4C,5B,6B,7C,8B,9A,10C,11A,12A,13B,14C,15A,16B,Hai
287,f,56,3b,Baden-Wuerttemberg,Erwerbstätig,Keine Kinder (<18) im Haushalt,2 Personen,1000€ bis 2000€,In einer Beziehung,Lehre / Ausbildung,Realschulabschluss,Heilbronn,1,74081,DEU,android,288,2021-06-18 14:49:12,-,1C,2B,3C,4C,5A,6A,7C,8A,9C,10B,11A,12C,13A,14A,15B,16A,Hai
288,f,23,7,Sachsen,SchülerIn / StudentIn / In der Ausbildung (Azubi/Lehrling),Keine Kinder (<18) im Haushalt,2 Personen,1000€ bis 2000€,In einer Beziehung,(Noch) kein Abschluss,Abitur / Fachabitur,Dresden,0,01069,DEU,iOS,95,2021-06-18 14:48:20,-,1A,2C,3B,4C,5C,6A,7A,8C,9C,10B,11A,12C,13B,14A,15B,16A,Hai
289,f,24,3a,Hessen,SchülerIn / StudentIn / In der Ausbildung (Azubi/Lehrling),Keine Kinder (<18) im Haushalt,2 Personen,<1000€,Single / Ledig,Universitärer Abschluss,Abitur / Fachabitur,Gemuenden (Wohra),0,35285,DEU,iOS,79,2021-06-18 14:49:32,-,1A,2B,3C,4C,5A,6A,7C,8B,9C,10B,11A,12C,13B,14A,15B,16B,Hai
290,f,30,4,Bayern,Erwerbstätig,Keine Kinder (<18) im Haushalt,2 Personen,1000€ bis 2000€,In einer Beziehung,Lehre / Ausbildung,Hauptschulabschluss,Bad Neustadt an der Saale,0,97616,DEU,iOS,156,2021-06-18 14:49:17,-,1A,2B,3B,4C,5C,6B,7A,8C,9B,10B,11A,12C,13B,14A,15B,16B,Hai
291,m,27,5,Berlin,Erwerbstätig,Keine Kinder (<18) im Haushalt,2 Personen,2000€ bis 3000€,In einer Beziehung,Universitärer Abschluss,Abitur / Fachabitur,Berlin,1,12163,DEU,iOS,127,2021-06-18 15:01:38,-,1A,2B,3B,4C,5A,6B,7A,8C,9B,10B,11A,12C,13B,14A,15B,16A,Hai
292,f,39,1,Niedersachsen,Erwerbstätig,Min. ein Kind (<18) im Haushalt,3 Personen,1000€ bis 2000€,In einer Beziehung,Lehre / Ausbildung,Realschulabschluss,Emden,0,26721,DEU,android,168,2021-06-18 14:51:34,-,1A,2B,3B,4C,5C,6B,7A,8C,9C,10B,11A,12C,13B,14A,15B,16A,Hai
293,m,49,6,Brandenburg,Erwerbstätig,Min. ein Kind (<18) im Haushalt,Mehr als 4 Personen,3000€ bis 4000€,Verheiratet / eingetragene Partnerschaft,Lehre / Ausbildung,Realschulabschluss,Dallgow-Doeberitz,0,14624,DEU,Android,191,2021-06-18 14:52:26,-,1A,2B,3C,4C,5C,6A,7C,8B,9C,10B,11A,12C,13B,14A,15B,16B,Hai
294,m,36,5,Berlin,Nicht erwerbstätig,Min. ein Kind (<18) im Haushalt,4 Personen,3000€ bis 4000€,In einer Beziehung,Lehre / Ausbildung,Hauptschulabschluss,Berlin,1,13055,DEU,iOS,180,2021-06-18 14:54:47,-,1B,2B,3B,4C,5A,6A,7C,8C,9A,10A,11B,12A,13C,14B,15B,16A,Hai
295,f,31,2,Nordrhein-Westfalen,Erwerbstätig,Min. ein Kind (<18) im Haushalt,3 Personen,1000€ bis 2000€,Verheiratet / eingetragene Partnerschaft,Lehre / Ausbildung,Realschulabschluss,Zuelpich,0,53909,DEU,Android,163,2021-06-18 14:47:20,-,1C,2C,3B,4C,5B,6A,7A,8A,9C,10B,11C,12C,13B,14A,15B,16B,Hai
296,m,67,2,Nordrhein-Westfalen,in Rente,Keine Kinder (<18) im Haushalt,2 Personen,2000€ bis 3000€,In einer Beziehung,Lehre / Ausbildung,Hauptschulabschluss,Dinslaken,0,46539,DEU,Android,141,2021-06-18 14:55:03,-,1A,2B,3C,4C,5C,6A,7A,8B,9C,10B,11A,12C,13B,14A,15B,16B,Hai
297,m,58,5,Berlin,Erwerbstätig,Min. ein Kind (<18) im Haushalt,4 Personen,4000€ bis 5000€,Verheiratet / eingetragene Partnerschaft,Universitärer Abschluss,Abitur / Fachabitur,Berlin,1,10825,DEU,iOS,116,2021-06-18 15:02:33,-,1A,2B,3A,4C,5C,6B,7A,8A,9B,10B,11C,12C,13B,14C,15B,16B,Hai
298,f,20,6,Mecklenburg-Vorpommern,SchülerIn / StudentIn / In der Ausbildung (Azubi/Lehrling),Min. ein Kind (<18) im Haushalt,3 Personen,2000€ bis 3000€,Single / Ledig,(Noch) kein Abschluss,Hauptschulabschluss,Rostock,1,18106,DEU,iOS,100,2021-06-18 14:54:22,-,1A,2B,3A,4C,5C,6C,7A,8C,9C,10C,11C,12C,13B,14C,15C,16C,Hai
299,f,24,2,Nordrhein-Westfalen,Erwerbstätig,Keine Kinder (<18) im Haushalt,2 Personen,1000€ bis 2000€,In einer Beziehung,Lehre / Ausbildung,Abitur / Fachabitur,Aachen,1,52078,DEU,iOS,170,2021-06-18 14:55:22,-,1A,2B,3B,4C,5C,6A,7A,8C,9B,10B,11A,12C,13B,14A,15B,16A,Hai
300,m,19,2,Nordrhein-Westfalen,SchülerIn / StudentIn / In der Ausbildung (Azubi/Lehrling),Keine Kinder (<18) im Haushalt,2 Personen,2000€ bis 3000€,Single / Ledig,Lehre / Ausbildung,Abitur / Fachabitur,Koeln,1,50667,DEU,iOS,73,2021-06-18 14:46:04,-,1A,2B,3A,4C,5C,6B,7A,8C,9B,10B,11A,12C,13B,14B,15B,16A,Hai
301,f,33,5,Berlin,Erwerbstätig,Min. ein Kind (<18) im Haushalt,4 Personen,1000€ bis 2000€,Verheiratet / eingetragene Partnerschaft,Universitärer Abschluss,Abitur / Fachabitur,Berlin,1,12619,DEU,Android,64,2021-06-18 14:48:25,-,1A,2A,3A,4A,5A,6C,7B,8A,9A,10A,11C,12C,13B,14B,15A,16C,Hai
302,m,34,2,Nordrhein-Westfalen,SchülerIn / StudentIn / In der Ausbildung (Azubi/Lehrling),Keine Kinder (<18) im Haushalt,1 Person,<1000€,In einer Beziehung,Lehre / Ausbildung,Hauptschulabschluss,Waltrop,0,45731,DEU,Android,145,2021-06-18 14:48:19,-,1A,2A,3C,4C,5C,6B,7C,8B,9B,10B,11A,12C,13B,14A,15B,16B,Hai
303,m,23,7,Sachsen,Erwerbstätig,Min. ein Kind (<18) im Haushalt,4 Personen,2000€ bis 3000€,In einer Beziehung,Universitärer Abschluss,Abitur / Fachabitur,Rossau bei Mittweida,0,09661,DEU,iOS,64,2021-06-18 14:48:48,-,1A,2C,3C,4C,5C,6C,7B,8A,9B,10B,11A,12C,13A,14B,15B,16B,Hai
304,m,34,3b,Baden-Wuerttemberg,Erwerbstätig,Keine Kinder (<18) im Haushalt,2 Personen,1000€ bis 2000€,Single / Ledig,Lehre / Ausbildung,Abitur / Fachabitur,Murrhardt,0,71540,DEU,Android,174,2021-06-18 14:48:42,-,1A,2B,3B,4C,5C,6A,7A,8C,9C,10B,11A,12C,13B,14A,15B,16B,Hai
305,f,17,4,Bayern,SchülerIn / StudentIn / In der Ausbildung (Azubi/Lehrling),Min. ein Kind (<18) im Haushalt,Mehr als 4 Personen,2000€ bis 3000€,In einer Beziehung,(Noch) kein Abschluss,Realschulabschluss,Oberstaufen,0,87534,DEU,Android,195,2021-06-18 14:49:18,-,1A,2C,3B,4C,5A,6A,7A,8C,9B,10B,11C,12C,13B,14A,15B,16A,Hai
306,m,28,2,Nordrhein-Westfalen,Erwerbstätig,Keine Kinder (<18) im Haushalt,2 Personen,<1000€,Single / Ledig,Lehre / Ausbildung,Hauptschulabschluss,Duisburg,1,47137,DEU,iOS,92,2021-06-18 14:56:20,-,1A,2B,3C,4C,5C,6A,7A,8B,9C,10B,11C,12C,13B,14C,15C,16B,Hai
307,m,48,3a,Hessen,Erwerbstätig,Keine Kinder (<18) im Haushalt,3 Personen,>5000€,Verheiratet / eingetragene Partnerschaft,Lehre / Ausbildung,Realschulabschluss,Kassel,1,34125,DEU,Android,159,2021-06-18 14:48:51,-,1C,2B,3B,4C,5B,6C,7A,8C,9C,10A,11A,12C,13B,14A,15B,16B,Hai
308,f,20,3a,Rheinland-Pfalz,Erwerbstätig,Keine Kinder (<18) im Haushalt,1 Person,1000€ bis 2000€,Single / Ledig,Lehre / Ausbildung,Realschulabschluss,Germersheim,0,76726,DEU,iOS,181,2021-06-18 14:56:24,-,1A,2B,3B,4C,5C,6B,7A,8C,9B,10B,11A,12C,13B,14A,15B,16B,Hai
309,f,35,3a,Rheinland-Pfalz,-,-,-,-,-,-,-,Mainz,1,55126,DEU,iOS,64,2021-06-18 14:53:57,-,1A,2B,3C,4C,5C,6C,7C,8C,9A,10C,11A,12C,13B,14A,15A,16B,Hai
310,f,57,3a,Rheinland-Pfalz,Erwerbstätig,Keine Kinder (<18) im Haushalt,2 Personen,4000€ bis 5000€,Single / Ledig,Lehre / Ausbildung,Realschulabschluss,Altenkirchen,0,57610,DEU,iOS,2634,2021-06-18 15:33:00,-,1C,2B,3B,4C,5C,6A,7A,8A,9C,10B,11C,12C,13A,14A,15B,16A,Hai
311,m,31,1,Niedersachsen,Nicht erwerbstätig,Keine Kinder (<18) im Haushalt,2 Personen,1000€ bis 2000€,Verheiratet / eingetragene Partnerschaft,Lehre / Ausbildung,Realschulabschluss,Hemmoor,0,21745,DEU,android,82,2021-06-18 14:55:56,-,1A,2B,3C,4C,5A,6A,7C,8C,9C,10B,11A,12C,13B,14A,15B,16B,Hai
312,m,22,2,Nordrhein-Westfalen,Sonstige,Min. ein Kind (<18) im Haushalt,3 Personen,1000€ bis 2000€,Single / Ledig,Universitärer Abschluss,Realschulabschluss,Bielefeld,1,33609,DEU,Android,81,2021-06-18 14:56:56,-,1C,2A,3C,4B,5C,6A,7A,8A,9C,10C,11C,12C,13B,14B,15A,16A,Hai
313,f,27,4,Bayern,Erwerbstätig,Min. ein Kind (<18) im Haushalt,3 Personen,>5000€,Verheiratet / eingetragene Partnerschaft,Universitärer Abschluss,Abitur / Fachabitur,Nuernberg,1,90459,DEU,Android,78,2021-06-18 14:54:22,-,1A,2B,3C,4C,5A,6A,7A,8B,9C,10B,11A,12C,13B,14A,15B,16B,Hai
314,f,22,1,Schleswig-Holstein,Nicht erwerbstätig,Min. ein Kind (<18) im Haushalt,2 Personen,1000€ bis 2000€,Verheiratet / eingetragene Partnerschaft,Lehre / Ausbildung,Hauptschulabschluss,Kattendorf,0,24568,DEU,Android,124,2021-06-18 14:50:50,-,1A,2C,3B,4C,5A,6C,7A,8C,9C,10B,11A,12C,13B,14A,15B,16B,Hai
315,f,40,2,Nordrhein-Westfalen,Nicht erwerbstätig,Keine Kinder (<18) im Haushalt,1 Person,<1000€,In einer Beziehung,(Noch) kein Abschluss,Abitur / Fachabitur,Rietberg,0,33397,DEU,Android,157,2021-06-18 14:51:14,-,1A,2B,3A,4C,5C,6B,7C,8B,9B,10B,11C,12C,13B,14C,15B,16B,Hai
316,f,26,3a,Rheinland-Pfalz,SchülerIn / StudentIn / In der Ausbildung (Azubi/Lehrling),Keine Kinder (<18) im Haushalt,2 Personen,2000€ bis 3000€,Verheiratet / eingetragene Partnerschaft,Universitärer Abschluss,Abitur / Fachabitur,Pirmasens,0,66954,DEU,Android,111,2021-06-18 14:51:42,-,1A,2B,3A,4C,5C,6A,7B,8A,9C,10B,11C,12C,13B,14C,15B,16B,Hai
317,m,16,3a,Rheinland-Pfalz,SchülerIn / StudentIn / In der Ausbildung (Azubi/Lehrling),Keine Kinder (<18) im Haushalt,4 Personen,4000€ bis 5000€,Verheiratet / eingetragene Partnerschaft,(Noch) kein Abschluss,Ohne Abschluss,Ludwigshafen am Rhein,1,67071,DEU,iOS,82,2021-06-18 14:47:02,-,1B,2A,3A,4B,5C,6A,7C,8C,9B,10B,11B,12B,13B,14A,15A,16A,Hai
318,m,18,3a,Hessen,SchülerIn / StudentIn / In der Ausbildung (Azubi/Lehrling),Min. ein Kind (<18) im Haushalt,3 Personen,<1000€,Single / Ledig,Lehre / Ausbildung,Abitur / Fachabitur,Hanau,0,63450,DEU,android,163,2021-06-18 14:57:29,-,1C,2A,3B,4C,5C,6A,7B,8C,9B,10B,11C,12C,13A,14A,15B,16A,Hai
319,m,71,2,Nordrhein-Westfalen,Erwerbstätig,Min. ein Kind (<18) im Haushalt,2 Personen,4000€ bis 5000€,Verheiratet / eingetragene Partnerschaft,Lehre / Ausbildung,Abitur / Fachabitur,Nettetal,0,41334,DEU,Android,351,2021-06-18 14:51:29,-,1B,2A,3C,4A,5B,6C,7C,8A,9C,10A,11C,12A,13C,14B,15A,16A,Hai
320,f,23,6,Sachsen-Anhalt,Erwerbstätig,Keine Kinder (<18) im Haushalt,2 Personen,1000€ bis 2000€,Single / Ledig,Lehre / Ausbildung,Realschulabschluss,Halle (Saale),1,06110,DEU,Android,201,2021-06-18 14:50:19,-,1A,2B,3B,4C,5C,6A,7A,8C,9C,10B,11A,12C,13B,14A,15B,16A,Hai
321,f,47,2,Nordrhein-Westfalen,Erwerbstätig,Keine Kinder (<18) im Haushalt,2 Personen,>5000€,Verheiratet / eingetragene Partnerschaft,Lehre / Ausbildung,Abitur / Fachabitur,Nettetal,0,41334,DEU,Android,323,2021-06-18 14:50:59,-,1A,2B,3C,4A,5C,6C,7A,8C,9A,10A,11A,12B,13B,14B,15C,16A,Hai
322,f,49,1,Niedersachsen,Erwerbstätig,Min. ein Kind (<18) im Haushalt,4 Personen,<1000€,Verheiratet / eingetragene Partnerschaft,Lehre / Ausbildung,Abitur / Fachabitur,Wolfsburg,1,38440,DEU,android,111,2021-06-18 14:49:49,-,1A,2B,3A,4C,5C,6B,7C,8A,9B,10B,11C,12C,13B,14A,15B,16A,Hai
323,f,28,4,Bayern,SchülerIn / StudentIn / In der Ausbildung (Azubi/Lehrling),Keine Kinder (<18) im Haushalt,4 Personen,3000€ bis 4000€,In einer Beziehung,Universitärer Abschluss,Abitur / Fachabitur,Muenchen,1,81925,DEU,iOS,95,2021-06-18 14:52:47,-,1C,2A,3B,4C,5B,6B,7B,8C,9C,10B,11A,12C,13A,14C,15B,16A,Hai
324,f,62,2,Nordrhein-Westfalen,Erwerbstätig,Keine Kinder (<18) im Haushalt,1 Person,2000€ bis 3000€,Single / Ledig,Lehre / Ausbildung,Realschulabschluss,Bielefeld,1,33739,DEU,Android,202,2021-06-18 14:48:56,-,1A,2B,3B,4C,5C,6A,7A,8C,9B,10B,11A,12C,13B,14A,15B,16B,Hai
325,m,61,3a,Rheinland-Pfalz,Erwerbstätig,Min. ein Kind (<18) im Haushalt,4 Personen,2000€ bis 3000€,Verheiratet / eingetragene Partnerschaft,Lehre / Ausbildung,Hauptschulabschluss,Herxheimweyher,0,76863,DEU,Android,270,2021-06-18 14:49:31,-,1A,2B,3C,4C,5C,6A,7C,8B,9C,10B,11C,12C,13B,14A,15B,16B,Hai
326,m,63,1,Hamburg,in Rente,Keine Kinder (<18) im Haushalt,2 Personen,3000€ bis 4000€,Verheiratet / eingetragene Partnerschaft,Lehre / Ausbildung,Realschulabschluss,Hamburg,1,21039,DEU,Android,181,2021-06-18 14:50:45,-,1A,2B,3B,4C,5C,6A,7A,8C,9B,10B,11A,12C,13B,14A,15B,16A,Hai
327,f,19,2,Nordrhein-Westfalen,SchülerIn / StudentIn / In der Ausbildung (Azubi/Lehrling),Min. ein Kind (<18) im Haushalt,Mehr als 4 Personen,1000€ bis 2000€,Single / Ledig,Lehre / Ausbildung,Realschulabschluss,Bonn,1,53111,DEU,iOS,212,2021-06-18 14:51:30,-,1A,2B,3C,4C,5A,6A,7A,8B,9C,10C,11A,12A,13B,14C,15C,16B,Hai
328,f,22,1,Niedersachsen,Sonstige,Keine Kinder (<18) im Haushalt,2 Personen,<1000€,Single / Ledig,Lehre / Ausbildung,Hauptschulabschluss,Bad Bentheim,0,48455,DEU,Android,160,2021-06-18 14:48:05,-,1A,2B,3A,4C,5A,6B,7C,8B,9B,10B,11A,12C,13B,14C,15B,16B,Hai
329,f,16,1,Hamburg,SchülerIn / StudentIn / In der Ausbildung (Azubi/Lehrling),Min. ein Kind (<18) im Haushalt,3 Personen,<1000€,Single / Ledig,(Noch) kein Abschluss,Realschulabschluss,Hamburg,1,21075,DEU,Android,226,2021-06-18 14:53:08,-,1A,2C,3B,4C,5A,6B,7A,8C,9B,10B,11A,12C,13B,14C,15B,16A,Hai
330,f,19,3b,Baden-Wuerttemberg,SchülerIn / StudentIn / In der Ausbildung (Azubi/Lehrling),Min. ein Kind (<18) im Haushalt,Mehr als 4 Personen,<1000€,Single / Ledig,Universitärer Abschluss,Hauptschulabschluss,Gerabronn,0,74582,DEU,android,122,2021-06-18 14:49:27,-,1A,2B,3A,4C,5A,6B,7C,8B,9C,10B,11A,12C,13C,14C,15B,16B,Hai
331,m,19,2,Nordrhein-Westfalen,Sonstige,Keine Kinder (<18) im Haushalt,Mehr als 4 Personen,3000€ bis 4000€,Single / Ledig,(Noch) kein Abschluss,Abitur / Fachabitur,Paderborn,1,33102,DEU,iOS,117,2021-06-18 14:48:14,-,1C,2B,3A,4B,5C,6B,7A,8B,9B,10C,11B,12C,13B,14B,15B,16B,Hai
332,f,34,7,Sachsen,in Rente,Min. ein Kind (<18) im Haushalt,Mehr als 4 Personen,<1000€,In einer Beziehung,Universitärer Abschluss,Abitur / Fachabitur,Rammenau,0,01877,DEU,android,69,2021-06-18 14:45:35,-,1A,2B,3C,4C,5C,6C,7C,8A,9C,10A,11C,12C,13B,14C,15A,16B,Hai
333,m,52,7,Sachsen,Erwerbstätig,Keine Kinder (<18) im Haushalt,2 Personen,1000€ bis 2000€,In einer Beziehung,Lehre / Ausbildung,Realschulabschluss,"Goerlitz, Neisse",0,02828,DEU,Android,110,2021-06-18 14:54:42,-,1A,2B,3A,4C,5C,6B,7C,8B,9B,10B,11A,12C,13B,14C,15B,16B,Hai
334,m,44,7,Sachsen,Erwerbstätig,Min. ein Kind (<18) im Haushalt,3 Personen,1000€ bis 2000€,In einer Beziehung,Lehre / Ausbildung,Realschulabschluss,Weisswasser,0,02943,DEU,Android,109,2021-06-18 15:49:05,-,1A,2C,3B,4C,5C,6B,7B,8C,9C,10B,11A,12C,13B,14C,15B,16A,Hai
335,f,26,4,Bayern,SchülerIn / StudentIn / In der Ausbildung (Azubi/Lehrling),Keine Kinder (<18) im Haushalt,1 Person,<1000€,In einer Beziehung,(Noch) kein Abschluss,Realschulabschluss,Forstern,0,85659,DEU,Android,282,2021-06-18 14:50:36,-,1A,2B,3A,4B,5C,6A,7C,8A,9B,10B,11C,12C,13B,14A,15B,16A,Hai
336,m,18,5,Berlin,SchülerIn / StudentIn / In der Ausbildung (Azubi/Lehrling),Min. ein Kind (<18) im Haushalt,3 Personen,2000€ bis 3000€,Single / Ledig,(Noch) kein Abschluss,Realschulabschluss,Berlin,1,10709,DEU,Android,325,2021-06-18 14:54:01,-,1A,2C,3C,4C,5C,6B,7A,8A,9C,10B,11C,12C,13B,14A,15B,16B,Hai
337,f,16,2,Nordrhein-Westfalen,SchülerIn / StudentIn / In der Ausbildung (Azubi/Lehrling),Min. ein Kind (<18) im Haushalt,3 Personen,<1000€,In einer Beziehung,(Noch) kein Abschluss,Realschulabschluss,Dortmund,1,44319,DEU,iOS,150,2021-06-18 14:48:10,-,1A,2B,3C,4C,5C,6A,7A,8B,9B,10B,11A,12C,13B,14A,15B,16A,Hai
