NR;Geschlecht;Alter;Nielsen;Bundesland;Arbeitsstatus;Kinder im Haushalt (<18);Haushaltsgröße;Haushaltseinkommen;Familienstand;Berufs- / Akademische Bildung;Schulbildung;Stadt;Urban (>100k Einw.);PLZ;Land;Platform;Beantwortungsdauer in Sek.;Beantwortungszeit;1. Wir zeigen Dir im Folgenden immer drei Eiscremeangebote, die sich auf vier Faktoren unterscheiden: Sorte, Art des Bechers, Preis, und ob Streusel auf dem Eis sind. Bitte entscheide Dich jedes Mal, welches Eiscremeangebot Du am ehesten kaufen würdest.;2. Welche dieser Eiskugeln würdest du am ehesten kaufen?;3. Welche dieser Eiskugeln würdest du am ehesten kaufen?;4. Welche dieser Eiskugeln würdest du am ehesten kaufen?;5. Welche dieser Eiskugeln würdest du am ehesten kaufen?;6. Welche dieser Eiskugeln würdest du am ehesten kaufen?;7. Welche dieser Eiskugeln würdest du am ehesten kaufen?;8. Welche dieser Eiskugeln würdest du am ehesten kaufen?;9. Welche dieser Eiskugeln würdest du am ehesten kaufen?;10. Welche dieser Eiskugeln würdest du am ehesten kaufen?;11. Welche dieser Eiskugeln würdest du am ehesten kaufen?;12. Welche dieser Eiskugeln würdest du am ehesten kaufen?;13. Welche dieser Eiskugeln würdest du am ehesten kaufen?;14. Welche dieser Eiskugeln würdest du am ehesten kaufen?;15. Welche dieser Eiskugeln würdest du am ehesten kaufen?;16. Welche dieser Eiskugeln würdest du am ehesten kaufen?;17. Welche dieser Eiskugeln würdest du am ehesten kaufen?;18. Bei dieser Frage bitten wir dich, die richtige Antwort auszuwählen. Welches der folgenden Tiere lebt im Wasser? Achtung: Kontrollfrage!
210;m;17;2;Nordrhein-Westfalen;SchülerIn / StudentIn / In der Ausbildung (Azubi/Lehrling);Min. ein Kind (<18) im Haushalt;Mehr als 4 Personen;3000€ bis 4000€;Single / Ledig;(Noch) kein Abschluss;Realschulabschluss;Kuerten;-;51515;DEU;android;256;2021-06-18 14:53:39;-;1A;2B;3A;4C;5C;6B;7A;8C;9B;10B;11A;12C;13B;14A;15B;16B;Hai
211;f;66;6;Sachsen-Anhalt;in Rente;Keine Kinder (<18) im Haushalt;2 Personen;1000€ bis 2000€;Single / Ledig;(Noch) kein Abschluss;Realschulabschluss;Rahnsdorf bei Lutherstadt Wittenberg;-;06895;DEU;Android;267;2021-06-18 14:55:37;-;1A;2B;3A;4C;5C;6A;7A;8A;9C;10B;11C;12C;13B;14A;15B;16A;Hai
212;f;45;2;Nordrhein-Westfalen;Erwerbstätig;Min. ein Kind (<18) im Haushalt;4 Personen;>5000€;Verheiratet / eingetragene Partnerschaft;Universitärer Abschluss;Abitur / Fachabitur;Koeln;x;50997;DEU;iOS;128;2021-06-18 14:53:32;-;1A;2B;3A;4B;5C;6A;7A;8A;9A;10B;11C;12C;13B;14C;15C;16A;Hai
213;m;40;1;Niedersachsen;Erwerbstätig;Min. ein Kind (<18) im Haushalt;Mehr als 4 Personen;3000€ bis 4000€;Verheiratet / eingetragene Partnerschaft;Lehre / Ausbilung;Realschulabschluss;Nordhorn;-;48527;DEU;Android;317;2021-06-18 14:59:37;-;1A;2B;3C;4C;5C;6B;7C;8B;9C;10B;11A;12C;13B;14A;15B;16B;Hai
214;f;36;2;Nordrhein-Westfalen;Erwerbstätig;Min. ein Kind (<18) im Haushalt;2 Personen;1000€ bis 2000€;Single / Ledig;(Noch) kein Abschluss;Realschulabschluss;Gummersbach;-;51645;DEU;iOS;96;2021-06-18 14:47:36;-;1C;2B;3B;4C;5C;6B;7A;8C;9B;10A;11C;12C;13B;14B;15B;16A;Hai
215;m;19;6;Sachsen-Anhalt;SchülerIn / StudentIn / In der Ausbildung (Azubi/Lehrling);Keine Kinder (<18) im Haushalt;2 Personen;<1000€;Single / Ledig;Lehre / Ausbilung;No degree;Quedlinburg;-;06484;DEU;iOS;176;2021-06-18 15:03:27;-;1B;2B;3A;4C;5C;6A;7A;8A;9A;10C;11C;12A;13B;14A;15C;16A;Hai
216;f;20;4;Bayern;Erwerbstätig;Min. ein Kind (<18) im Haushalt;Mehr als 4 Personen;>5000€;Single / Ledig;Lehre / Ausbilung;Realschulabschluss;Aschaffenburg;-;63743;DEU;iOS;87;2021-06-18 14:46:51;-;1C;2A;3A;4C;5B;6A;7A;8B;9C;10B;11A;12C;13B;14A;15B;16B;Hai
217;m;36;1;Hamburg;Erwerbstätig;Min. ein Kind (<18) im Haushalt;3 Personen;<1000€;Verheiratet / eingetragene Partnerschaft;(Noch) kein Abschluss;No degree;Hamburg;x;22147;DEU;Android;197;2021-06-18 14:47:51;-;1A;2C;3B;4C;5A;6A;7B;8C;9C;10B;11C;12C;13B;14A;15B;16A;Hai
218;m;25;2;Nordrhein-Westfalen;Erwerbstätig;Min. ein Kind (<18) im Haushalt;3 Personen;3000€ bis 4000€;In einer Beziehung;Lehre / Ausbilung;Realschulabschluss;Menden;-;58708;DEU;android;132;2021-06-18 14:49:12;-;1A;2B;3A;4C;5C;6B;7C;8C;9B;10B;11C;12C;13B;14A;15B;16A;Hai
219;m;67;2;Nordrhein-Westfalen;Erwerbstätig;Keine Kinder (<18) im Haushalt;2 Personen;2000€ bis 3000€;In einer Beziehung;Lehre / Ausbilung;Hauptschulabschluss;Dinslaken;-;46539;DEU;Android;131;2021-06-18 14:58:42;-;1A;2B;3C;4C;5C;6A;7A;8B;9C;10B;11A;12C;13B;14A;15B;16B;Hai
220;m;51;1;Schleswig-Holstein;Erwerbstätig;Min. ein Kind (<18) im Haushalt;3 Personen;3000€ bis 4000€;In einer Beziehung;Lehre / Ausbilung;Abitur / Fachabitur;Fehmarn;-;23769;DEU;Android;141;2021-06-18 14:58:35;-;1A;2B;3A;4C;5B;6B;7C;8B;9B;10B;11C;12C;13A;14C;15B;16B;Hai
221;f;39;3b;Baden-Wuerttemberg;Nicht erwerbstätig;Min. ein Kind (<18) im Haushalt;4 Personen;4000€ bis 5000€;Verheiratet / eingetragene Partnerschaft;Lehre / Ausbilung;Realschulabschluss;Sindelfingen;-;71063;DEU;Android;978;2021-06-18 15:07:47;-;1A;2B;3A;4C;5A;6A;7C;8A;9B;10B;11A;12C;13B;14A;15B;16B;Hai
222;m;20;3b;Baden-Wuerttemberg;Erwerbstätig;Keine Kinder (<18) im Haushalt;1 Person;1000€ bis 2000€;Single / Ledig;Lehre / Ausbilung;No degree;Gaildorf;-;74405;DEU;Android;111;2021-06-18 14:56:32;-;1A;2A;3A;4C;5A;6C;7C;8B;9C;10B;11A;12C;13B;14B;15B;16B;Hai
223;m;44;1;Niedersachsen;Erwerbstätig;Keine Kinder (<18) im Haushalt;2 Personen;4000€ bis 5000€;Verheiratet / eingetragene Partnerschaft;Lehre / Ausbilung;Realschulabschluss;Hannover;x;30161;DEU;Android;171;2021-06-18 15:01:31;-;1A;2B;3A;4B;5C;6A;7A;8A;9A;10C;11B;12C;13B;14A;15C;16A;Hai
224;m;48;2;Nordrhein-Westfalen;Erwerbstätig;Keine Kinder (<18) im Haushalt;1 Person;1000€ bis 2000€;Single / Ledig;Lehre / Ausbilung;Abitur / Fachabitur;Witten;-;58455;DEU;android;121;2021-06-18 14:48:38;-;1C;2A;3C;4C;5A;6A;7B;8A;9C;10A;11C;12C;13A;14C;15B;16B;Hai
225;f;24;3b;Baden-Wuerttemberg;Erwerbstätig;Keine Kinder (<18) im Haushalt;1 Person;2000€ bis 3000€;Single / Ledig;Lehre / Ausbilung;Realschulabschluss;Erlenmoos;-;88416;DEU;iOS;157;2021-06-18 14:48:32;-;1A;2C;3B;4C;5B;6A;7A;8C;9B;10B;11C;12C;13B;14A;15B;16A;Hai
226;f;16;4;Bayern;SchülerIn / StudentIn / In der Ausbildung (Azubi/Lehrling);Min. ein Kind (<18) im Haushalt;3 Personen;2000€ bis 3000€;In einer Beziehung;(Noch) kein Abschluss;Realschulabschluss;Gmund am Tegernsee;-;83703;DEU;iOS;161;2021-06-18 14:51:08;-;1A;2B;3C;4C;5C;6A;7A;8A;9C;10B;11C;12C;13B;14A;15B;16B;Hai
227;m;28;1;Niedersachsen;Erwerbstätig;Keine Kinder (<18) im Haushalt;2 Personen;4000€ bis 5000€;In einer Beziehung;Lehre / Ausbilung;Abitur / Fachabitur;Meppen;-;49716;DEU;iOS;123;2021-06-18 14:57:10;-;1A;2B;3A;4C;5C;6A;7C;8A;9B;10B;11C;12C;13B;14A;15B;16A;Hai
228;m;38;2;Nordrhein-Westfalen;;;;;;;;Bonn;x;53229;DEU;iOS;86;2021-06-18 14:52:44;-;1B;2A;3B;4C;5B;6C;7B;8B;9C;10C;11C;12C;13C;14A;15C;16C;Hai
229;f;22;3b;Baden-Wuerttemberg;SchülerIn / StudentIn / In der Ausbildung (Azubi/Lehrling);Keine Kinder (<18) im Haushalt;2 Personen;2000€ bis 3000€;Single / Ledig;Lehre / Ausbilung;Abitur / Fachabitur;Ravensburg;-;88213;DEU;iOS;120;2021-06-18 14:55:06;-;1A;2B;3A;4C;5A;6B;7C;8C;9B;10B;11A;12C;13B;14A;15B;16A;Hai
230;m;39;5;Berlin;Nicht erwerbstätig;Min. ein Kind (<18) im Haushalt;4 Personen;3000€ bis 4000€;Verheiratet / eingetragene Partnerschaft;Lehre / Ausbilung;Realschulabschluss;Berlin;x;10555;DEU;Android;179;2021-06-18 14:55:16;-;1A;2B;3A;4B;5C;6A;7C;8A;9A;10B;11C;12C;13A;14A;15B;16A;Hai
231;f;20;4;Bayern;SchülerIn / StudentIn / In der Ausbildung (Azubi/Lehrling);Keine Kinder (<18) im Haushalt;3 Personen;2000€ bis 3000€;Single / Ledig;Universitärer Abschluss;Abitur / Fachabitur;Muenchen;x;80336;DEU;iOS;163;2021-06-18 14:48:06;-;1A;2C;3B;4C;5A;6A;7C;8A;9C;10B;11C;12C;13B;14A;15B;16A;Hai
232;m;33;4;Bayern;Sonstige;Min. ein Kind (<18) im Haushalt;1 Person;2000€ bis 3000€;In einer Beziehung;Lehre / Ausbilung;No degree;Dollnstein;-;91795;DEU;Android;163;2021-06-18 14:56:38;-;1A;2C;3A;4C;5B;6C;7C;8B;9B;10B;11B;12A;13A;14A;15C;16B;Hai
233;f;30;2;Nordrhein-Westfalen;Sonstige;Keine Kinder (<18) im Haushalt;2 Personen;<1000€;In einer Beziehung;Lehre / Ausbilung;Realschulabschluss;Moers;x;47447;DEU;iOS;202;2021-06-18 14:49:29;-;1A;2C;3A;4A;5A;6A;7C;8A;9B;10C;11A;12A;13A;14A;15A;16B;Hai
234;m;41;2;Nordrhein-Westfalen;Erwerbstätig;Keine Kinder (<18) im Haushalt;2 Personen;>5000€;Verheiratet / eingetragene Partnerschaft;Universitärer Abschluss;Abitur / Fachabitur;Inden;-;52459;DEU;android;130;2021-06-18 14:50:23;-;1A;2B;3A;4C;5C;6B;7A;8A;9B;10B;11C;12C;13B;14A;15B;16A;Hai
235;f;58;2;Nordrhein-Westfalen;in Rente;Keine Kinder (<18) im Haushalt;2 Personen;3000€ bis 4000€;In einer Beziehung;Lehre / Ausbilung;Abitur / Fachabitur;Nettetal;-;41334;DEU;Android;297;2021-06-18 14:50:56;-;1C;2A;3C;4C;5A;6C;7C;8A;9C;10A;11C;12C;13A;14B;15C;16C;Hai
236;m;16;3b;Baden-Wuerttemberg;SchülerIn / StudentIn / In der Ausbildung (Azubi/Lehrling);Min. ein Kind (<18) im Haushalt;4 Personen;1000€ bis 2000€;Single / Ledig;(Noch) kein Abschluss;Realschulabschluss;Ostfildern;-;73760;DEU;Android;119;2021-06-18 14:50:57;-;1A;2B;3C;4C;5C;6A;7A;8A;9C;10B;11A;12C;13B;14A;15B;16B;Hai
237;m;51;2;Nordrhein-Westfalen;Erwerbstätig;Keine Kinder (<18) im Haushalt;3 Personen;3000€ bis 4000€;Single / Ledig;Lehre / Ausbilung;Realschulabschluss;Kerpen;-;50171;DEU;Android;192;2021-06-18 15:54:16;-;1A;2B;3A;4B;5C;6A;7A;8A;9B;10B;11C;12A;13B;14A;15B;16A;Hai
238;f;45;7;Sachsen;Erwerbstätig;Keine Kinder (<18) im Haushalt;2 Personen;1000€ bis 2000€;In einer Beziehung;Lehre / Ausbilung;Realschulabschluss;Goerlitz, Neisse;-;02828;DEU;Android;133;2021-06-18 14:50:01;-;1A;2B;3C;4C;5C;6B;7C;8B;9B;10B;11A;12C;13B;14A;15B;16A;Hai
239;m;20;1;Schleswig-Holstein;SchülerIn / StudentIn / In der Ausbildung (Azubi/Lehrling);Keine Kinder (<18) im Haushalt;3 Personen;4000€ bis 5000€;Single / Ledig;(Noch) kein Abschluss;Abitur / Fachabitur;Nindorf;-;25704;DEU;Android;224;2021-06-18 14:55:20;-;1A;2B;3A;4C;5C;6A;7A;8B;9B;10B;11C;12C;13B;14A;15B;16B;Hai
240;m;38;4;Bayern;Erwerbstätig;Keine Kinder (<18) im Haushalt;2 Personen;3000€ bis 4000€;Verheiratet / eingetragene Partnerschaft;Lehre / Ausbilung;Hauptschulabschluss;Kulmbach;-;95326;DEU;iOS;122;2021-06-18 14:59:25;-;1A;2B;3A;4C;5C;6B;7C;8C;9B;10B;11C;12C;13B;14A;15B;16A;Hai
241;m;35;1;Hamburg;Erwerbstätig;Min. ein Kind (<18) im Haushalt;Mehr als 4 Personen;2000€ bis 3000€;Verheiratet / eingetragene Partnerschaft;(Noch) kein Abschluss;Hauptschulabschluss;Hamburg;x;21079;DEU;iOS;372;2021-06-18 15:03:20;-;1C;2B;3C;4C;5C;6C;7A;8A;9C;10B;11C;12C;13B;14C;15B;16A;Hai
242;m;52;3b;Baden-Wuerttemberg;Erwerbstätig;Min. ein Kind (<18) im Haushalt;Mehr als 4 Personen;<1000€;Verheiratet / eingetragene Partnerschaft;Lehre / Ausbilung;Hauptschulabschluss;Friedrichshafen;-;88045;DEU;iOS;94;2021-06-18 14:58:38;-;1B;2B;3A;4B;5C;6A;7A;8A;9A;10B;11C;12A;13B;14C;15C;16A;Hai
243;m;25;6;Mecklenburg-Vorpommern;Erwerbstätig;Keine Kinder (<18) im Haushalt;1 Person;2000€ bis 3000€;In einer Beziehung;Universitärer Abschluss;Abitur / Fachabitur;Wismar;-;23966;DEU;iOS;128;2021-06-18 14:58:30;-;1A;2C;3C;4C;5C;6A;7A;8C;9C;10B;11A;12C;13B;14A;15B;16B;Hai
244;m;28;1;Hamburg;Erwerbstätig;Keine Kinder (<18) im Haushalt;1 Person;<1000€;Single / Ledig;Lehre / Ausbilung;Abitur / Fachabitur;Hamburg;x;21077;DEU;Android;36;2021-06-18 14:48:38;-;1A;2A;3A;4B;5C;6C;7C;8C;9A;10B;11A;12C;13A;14A;15B;16C;Hai
245;f;18;2;Nordrhein-Westfalen;SchülerIn / StudentIn / In der Ausbildung (Azubi/Lehrling);Keine Kinder (<18) im Haushalt;2 Personen;<1000€;In einer Beziehung;(Noch) kein Abschluss;Abitur / Fachabitur;Velbert;-;42551;DEU;iOS;231;2021-06-18 14:50:01;-;1A;2B;3A;4C;5A;6B;7A;8C;9B;10B;11A;12C;13B;14C;15B;16A;Hai
246;f;24;3a;Saarland;Erwerbstätig;Keine Kinder (<18) im Haushalt;2 Personen;2000€ bis 3000€;In einer Beziehung;Lehre / Ausbilung;Realschulabschluss;Bexbach;-;66450;DEU;iOS;121;2021-06-18 14:51:56;-;1A;2B;3B;4C;5A;6B;7C;8C;9B;10B;11A;12C;13B;14A;15B;16A;Hai
247;f;26;5;Berlin;;;;;;;;Berlin;x;10785;DEU;iOS;202;2021-06-18 14:54:40;-;1A;2C;3B;4B;5A;6A;7A;8A;9A;10B;11B;12A;13A;14C;15A;16A;Hai
248;m;28;4;Bayern;Erwerbstätig;Min. ein Kind (<18) im Haushalt;4 Personen;3000€ bis 4000€;In einer Beziehung;Lehre / Ausbilung;Hauptschulabschluss;Schonungen;-;97453;DEU;iOS;146;2021-06-18 14:52:22;-;1A;2B;3B;4C;5C;6A;7A;8C;9C;10B;11A;12C;13B;14A;15B;16A;Hai
249;m;41;1;Niedersachsen;Erwerbstätig;Min. ein Kind (<18) im Haushalt;Mehr als 4 Personen;3000€ bis 4000€;In einer Beziehung;Universitärer Abschluss;Hauptschulabschluss;Cloppenburg;-;49661;DEU;android;166;2021-06-18 15:07:11;-;1B;2B;3A;4B;5B;6A;7A;8A;9A;10B;11C;12A;13B;14C;15C;16C;Hai
250;f;32;7;Berlin;in Rente;Keine Kinder (<18) im Haushalt;2 Personen;3000€ bis 4000€;Verheiratet / eingetragene Partnerschaft;Universitärer Abschluss;Abitur / Fachabitur;Berlin;-;11011;DEU;iOS;227;2021-06-18 14:53:24;-;1A;2B;3A;4C;5C;6A;7A;8A;9B;10B;11C;12C;13B;14A;15B;16A;Hai
251;f;72;1;Niedersachsen;in Rente;Keine Kinder (<18) im Haushalt;1 Person;1000€ bis 2000€;Single / Ledig;Lehre / Ausbilung;Realschulabschluss;Weste;-;29599;DEU;android;166;2021-06-18 14:50:48;-;1A;2B;3C;4C;5A;6C;7A;8B;9C;10B;11A;12C;13B;14A;15B;16B;Hai
252;m;31;1;Niedersachsen;Nicht erwerbstätig;Keine Kinder (<18) im Haushalt;2 Personen;1000€ bis 2000€;Verheiratet / eingetragene Partnerschaft;Lehre / Ausbilung;Realschulabschluss;Hemmoor;-;21745;DEU;android;82;2021-06-18 14:55:56;-;1A;2B;3C;4C;5A;6A;7C;8C;9C;10B;11A;12C;13B;14A;15B;16B;Hai
253;f;56;7;Sachsen;Erwerbstätig;Min. ein Kind (<18) im Haushalt;Mehr als 4 Personen;2000€ bis 3000€;In einer Beziehung;Universitärer Abschluss;Abitur / Fachabitur;Markkleeberg;-;04416;DEU;iOS;134;2021-06-18 14:46:49;-;1A;2B;3B;4C;5C;6A;7A;8C;9B;10B;11C;12C;13B;14A;15B;16A;Hai
254;f;25;5;Berlin;Erwerbstätig;Keine Kinder (<18) im Haushalt;3 Personen;1000€ bis 2000€;In einer Beziehung;(Noch) kein Abschluss;Abitur / Fachabitur;Berlin;x;10115;DEU;iOS;63;2021-06-18 14:49:24;-;1A;2C;3C;4A;5A;6A;7A;8A;9C;10B;11C;12C;13C;14A;15A;16B;Hai
255;m;68;6;Mecklenburg-Vorpommern;in Rente;Keine Kinder (<18) im Haushalt;1 Person;<1000€;Single / Ledig;Lehre / Ausbilung;Hauptschulabschluss;Hammer;-;17358;DEU;iOS;305;2021-06-18 15:01:48;-;1A;2B;3A;4C;5C;6B;7A;8A;9B;10B;11C;12C;13B;14A;15B;16A;Hai
256;m;22;2;Nordrhein-Westfalen;Sonstige;Min. ein Kind (<18) im Haushalt;3 Personen;1000€ bis 2000€;Single / Ledig;Universitärer Abschluss;Realschulabschluss;Bielefeld;x;33609;DEU;Android;81;2021-06-18 14:56:56;-;1C;2A;3C;4B;5C;6A;7A;8A;9C;10C;11C;12C;13B;14B;15A;16A;Hai
257;m;55;2;Nordrhein-Westfalen;Erwerbstätig;Min. ein Kind (<18) im Haushalt;1 Person;1000€ bis 2000€;Single / Ledig;Lehre / Ausbilung;Hauptschulabschluss;Loehne;-;32584;DEU;Android;184;2021-06-18 14:57:13;-;1A;2C;3A;4C;5B;6A;7C;8A;9C;10C;11C;12C;13B;14A;15B;16A;Hai
258;f;48;1;Hamburg;Erwerbstätig;Min. ein Kind (<18) im Haushalt;3 Personen;>5000€;Verheiratet / eingetragene Partnerschaft;Universitärer Abschluss;Abitur / Fachabitur;Hamburg;x;22337;DEU;iOS;128;2021-06-18 14:47:12;-;1A;2B;3B;4C;5A;6B;7A;8C;9B;10B;11C;12C;13B;14A;15B;16A;Hai
259;m;18;4;Bayern;SchülerIn / StudentIn / In der Ausbildung (Azubi/Lehrling);Min. ein Kind (<18) im Haushalt;Mehr als 4 Personen;2000€ bis 3000€;Single / Ledig;Lehre / Ausbilung;Abitur / Fachabitur;Dollnstein;-;91795;DEU;android;96;2021-06-18 15:00:50;-;1B;2B;3B;4B;5A;6A;7B;8C;9B;10A;11B;12C;13A;14C;15B;16C;Hai
260;m;51;2;Nordrhein-Westfalen;Sonstige;Min. ein Kind (<18) im Haushalt;Mehr als 4 Personen;2000€ bis 3000€;Verheiratet / eingetragene Partnerschaft;Universitärer Abschluss;Abitur / Fachabitur;Duesseldorf;x;40231;DEU;iOS;80;2021-06-18 14:51:13;-;1A;2B;3B;4A;5C;6C;7C;8A;9B;10A;11B;12C;13A;14A;15A;16C;Hai
261;m;30;3b;Baden-Wuerttemberg;SchülerIn / StudentIn / In der Ausbildung (Azubi/Lehrling);Keine Kinder (<18) im Haushalt;4 Personen;4000€ bis 5000€;Single / Ledig;(Noch) kein Abschluss;Realschulabschluss;Stuttgart;x;70180;DEU;Android;358;2021-06-18 14:51:31;-;1A;2C;3C;4C;5A;6A;7C;8B;9C;10B;11A;12C;13B;14A;15B;16B;Hai
262;m;34;1;Bremen;Erwerbstätig;Min. ein Kind (<18) im Haushalt;3 Personen;3000€ bis 4000€;Verheiratet / eingetragene Partnerschaft;Universitärer Abschluss;Abitur / Fachabitur;Bremen;x;28355;DEU;iOS;149;2021-06-18 14:59:37;-;1A;2C;3C;4C;5C;6A;7A;8A;9C;10B;11A;12C;13B;14A;15B;16A;Hai
263;m;39;2;Nordrhein-Westfalen;Erwerbstätig;Keine Kinder (<18) im Haushalt;3 Personen;>5000€;Single / Ledig;Universitärer Abschluss;Abitur / Fachabitur;Gelsenkirchen;x;45889;DEU;Android;74;2021-06-18 14:50:41;-;1B;2B;3A;4B;5C;6A;7A;8A;9C;10B;11C;12A;13B;14C;15C;16A;Hai
264;m;48;3a;Hessen;Erwerbstätig;Keine Kinder (<18) im Haushalt;3 Personen;>5000€;Verheiratet / eingetragene Partnerschaft;Lehre / Ausbilung;Realschulabschluss;Kassel;x;34125;DEU;Android;159;2021-06-18 14:48:51;-;1C;2B;3B;4C;5B;6C;7A;8C;9C;10A;11A;12C;13B;14A;15B;16B;Hai
265;m;47;5;Berlin;Erwerbstätig;Keine Kinder (<18) im Haushalt;1 Person;4000€ bis 5000€;Single / Ledig;Universitärer Abschluss;Abitur / Fachabitur;Berlin;x;10179;DEU;Android;170;2021-06-18 14:58:27;-;1A;2C;3B;4C;5A;6A;7C;8C;9C;10B;11A;12C;13A;14B;15B;16B;Hai
266;f;65;2;Nordrhein-Westfalen;in Rente;Keine Kinder (<18) im Haushalt;2 Personen;2000€ bis 3000€;In einer Beziehung;Lehre / Ausbilung;Realschulabschluss;Dinslaken;-;46539;DEU;Android;318;2021-06-18 14:51:43;-;1A;2B;3C;4C;5C;6A;7C;8A;9C;10B;11A;12C;13B;14A;15B;16B;Hai
267;f;21;1;Niedersachsen;Nicht erwerbstätig;Keine Kinder (<18) im Haushalt;3 Personen;<1000€;In einer Beziehung;(Noch) kein Abschluss;Hauptschulabschluss;Wilhelmshaven;-;26388;DEU;iOS;161;2021-06-18 14:53:45;-;1A;2B;3B;4C;5C;6B;7C;8A;9B;10B;11A;12C;13B;14C;15B;16A;Hai
268;f;18;1;Schleswig-Holstein;SchülerIn / StudentIn / In der Ausbildung (Azubi/Lehrling);Min. ein Kind (<18) im Haushalt;Mehr als 4 Personen;>5000€;Single / Ledig;(Noch) kein Abschluss;Realschulabschluss;Schwesing;-;25813;DEU;iOS;175;2021-06-18 15:04:24;-;1A;2C;3B;4C;5C;6B;7A;8C;9B;10B;11C;12C;13B;14A;15B;16A;Hai
269;f;39;5;Berlin;Erwerbstätig;Keine Kinder (<18) im Haushalt;3 Personen;3000€ bis 4000€;In einer Beziehung;Universitärer Abschluss;Abitur / Fachabitur;Berlin;x;14165;DEU;android;186;2021-06-18 14:48:25;-;1A;2C;3B;4C;5C;6B;7A;8C;9B;10B;11C;12C;13B;14C;15B;16A;Hai
270;m;26;3a;Hessen;SchülerIn / StudentIn / In der Ausbildung (Azubi/Lehrling);Keine Kinder (<18) im Haushalt;1 Person;<1000€;In einer Beziehung;Universitärer Abschluss;Abitur / Fachabitur;Giessen;-;35392;DEU;iOS;190;2021-06-18 14:49:09;-;1A;2B;3B;4C;5A;6A;7B;8B;9B;10B;11A;12C;13A;14A;15B;16A;Hai
271;m;34;3b;Baden-Wuerttemberg;Erwerbstätig;Keine Kinder (<18) im Haushalt;2 Personen;1000€ bis 2000€;Single / Ledig;Lehre / Ausbilung;Abitur / Fachabitur;Murrhardt;-;71540;DEU;Android;174;2021-06-18 14:48:42;-;1A;2B;3B;4C;5C;6A;7A;8C;9C;10B;11A;12C;13B;14A;15B;16B;Hai
272;m;47;5;Berlin;Erwerbstätig;Keine Kinder (<18) im Haushalt;1 Person;2000€ bis 3000€;Single / Ledig;(Noch) kein Abschluss;Abitur / Fachabitur;Berlin;x;10409;DEU;Android;212;2021-06-18 15:03:18;-;1A;2B;3A;4C;5C;6B;7A;8C;9B;10B;11A;12C;13B;14A;15B;16A;Hai
273;m;52;7;Sachsen;Erwerbstätig;Keine Kinder (<18) im Haushalt;2 Personen;1000€ bis 2000€;In einer Beziehung;Lehre / Ausbilung;Realschulabschluss;Goerlitz, Neisse;-;02828;DEU;Android;110;2021-06-18 14:54:42;-;1A;2B;3A;4C;5C;6B;7C;8B;9B;10B;11A;12C;13B;14C;15B;16B;Hai
274;f;57;2;Nordrhein-Westfalen;Nicht erwerbstätig;Keine Kinder (<18) im Haushalt;2 Personen;1000€ bis 2000€;Verheiratet / eingetragene Partnerschaft;Lehre / Ausbilung;Hauptschulabschluss;Nettetal;-;41334;DEU;Android;95;2021-06-18 14:46:20;-;1A;2B;3C;4B;5A;6C;7A;8B;9B;10C;11B;12C;13A;14A;15B;16A;Hai
275;f;35;2;Nordrhein-Westfalen;SchülerIn / StudentIn / In der Ausbildung (Azubi/Lehrling);Min. ein Kind (<18) im Haushalt;4 Personen;1000€ bis 2000€;In einer Beziehung;Universitärer Abschluss;Abitur / Fachabitur;Emsdetten;-;48282;DEU;Android;181;2021-06-18 14:48:11;-;1C;2C;3C;4B;5A;6C;7C;8A;9B;10C;11A;12A;13B;14B;15C;16B;Hai
276;m;54;1;Niedersachsen;Erwerbstätig;Min. ein Kind (<18) im Haushalt;4 Personen;>5000€;Verheiratet / eingetragene Partnerschaft;Universitärer Abschluss;Abitur / Fachabitur;Oldenburg (Oldenburg);-;26129;DEU;Android;118;2021-06-18 14:49:10;-;1A;2C;3A;4B;5A;6A;7C;8A;9B;10B;11C;12A;13A;14A;15B;16A;Hai
277;f;36;3a;Rheinland-Pfalz;Nicht erwerbstätig;Min. ein Kind (<18) im Haushalt;4 Personen;2000€ bis 3000€;In einer Beziehung;(Noch) kein Abschluss;Hauptschulabschluss;Grossmaischeid;-;56276;DEU;android;238;2021-06-18 14:49:02;-;1A;2B;3A;4B;5A;6A;7A;8A;9C;10B;11C;12A;13B;14A;15B;16A;Hai
278;m;35;2;Nordrhein-Westfalen;Erwerbstätig;Keine Kinder (<18) im Haushalt;2 Personen;>5000€;Single / Ledig;Universitärer Abschluss;Abitur / Fachabitur;Koeln;x;51067;DEU;iOS;394;2021-06-18 15:01:55;-;1A;2B;3A;4B;5C;6A;7A;8A;9A;10B;11C;12A;13B;14C;15C;16A;Hai
279;f;28;3a;Hessen;Nicht erwerbstätig;Min. ein Kind (<18) im Haushalt;Mehr als 4 Personen;<1000€;Verheiratet / eingetragene Partnerschaft;(Noch) kein Abschluss;Hauptschulabschluss;Muehlheim am Main;-;63165;DEU;iOS;216;2021-06-18 14:53:11;-;1A;2C;3B;4C;5A;6B;7A;8C;9B;10B;11A;12C;13B;14C;15B;16A;Hai
